Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2009,B,1066,1.19,-4.4,-3.21,28-Apr-2009,18-Oct-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,C,1298,1.9,-2.25,-0.35,28-Apr-2009,18-Oct-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,Y,1372,2.79,-1.95,0.85,28-Apr-2009,18-Oct-2009,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,AU,638,0.52,-5.38,-4.86,14-May-2010,28-Sep-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,B,1067,2.26,-2.9,-0.64,14-May-2010,28-Sep-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,C,1298,3.12,-1.4,1.72,14-May-2010,28-Sep-2010,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,AU,637,0.08,-5.61,-5.53,24-May-2011,04-Sep-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,B,1068,1.36,-3.36,-2,24-May-2011,04-Sep-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,C,1297,2.49,-2.49,0,24-May-2011,04-Sep-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,Y,1373,3.28,-2.32,0.96,24-May-2011,04-Sep-2011,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,AU,632,0.26,-4.53,-4.27,19-May-2012,03-Sep-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,P,995,1.36,-2.25,-0.88,19-May-2012,03-Sep-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,B,1067,1.67,-1.78,-0.11,19-May-2012,03-Sep-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,C,1296,3.25,-0.51,2.74,19-May-2012,03-Sep-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,Y,1372,4.5,-0.79,3.72,19-May-2012,03-Sep-2012,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,AU,628,-0.46,-6.48,-6.94,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,P,993,0.59,-4.67,-4.08,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,N,1006,0.63,-5.2,-4.57,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,B,1065,1.1,-4.24,-3.14,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,S,1237,2.41,-3.82,-1.4,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,C,1296,2.88,-2.72,0.16,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,T,1371,2.68,-2.73,-0.04,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,Y,1372,3.56,-2.56,1,21-May-2013,18-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,AU,623,-0.48,-8.45,-8.93,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,N,1005,0.89,-4.19,-3.3,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,B,1064,1.04,-3.94,-2.9,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,S,1236,1.76,-3.02,-1.26,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,C,1295,2.19,-2.16,0.02,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,Y,1371,2.55,-1.72,0.83,26-Apr-2014,02-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
