Year,Bw_mwe,Bs_mwe,Ba_mwe,ELA_m,Bw_Date,Ba_Date,bw_gradient_mwe_km,bs_gradient_mwe_km,ba_gradient_mwe_km,Lapse_Rate,Time_System,Integration_Method,Integration_Surface,Source
2008,4.28,-2.36642042289291,1.91357957710709,1059.67116112135,05/17/2008,09/17/2008,0.6        8.72,NaN,5.06        10.77,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2009,2.12,-3.01062312728452,-0.890623127284518,1321.77095205504,04/25/2009,10/18/2009,0.98        8.77,NaN,6.53        17.36,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2010,2.84,-1.83523799351028,1.00476200648972,1129.24230543031,05/13/2010,09/28/2010,3.99        3.77,NaN,9.86        10.26,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2011,2.39,-2.86248817926066,-0.472488179260658,1288.69825220403,05/24/2011,09/04/2011,2.62        8.52,NaN,8.06        10.75,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2012,3.2,-1.20202036137111,1.99797963862889,1076.37411384806,05/15/2012,09/03/2012,2.83         8.6,NaN,9.52         12.7,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2013,2.34,-3.43776675149241,-1.09776675149241,1326.93314712316,05/22/2013,09/18/2013,3.65        8.58,NaN,8.29        15.47,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2014,1.79,-2.87093255362352,-1.08093255362352,1313.3138834063,04/26/2014,10/02/2014,3.56        4.23,NaN,12.82        10.23,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2015,2.53,-2.7026375237144,-0.172637523714402,1236.58228204609,05/09/2015,09/09/2015,4.09        4.71,NaN,10.95         9.35,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2016,4.08,-3.52588427809257,0.554115721907429,1192.98521645892,05/09/2016,10/15/2016,6.79        8.84,NaN,13.63        13.84,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2017,1.98,-2.36991257549837,-0.389912575498372,1269.87275740695,05/28/2017,09/30/2017,4.47        2.34,NaN,10.28         9.96,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
2018,1.97,-2.97683876320401,-1.00683876320401,1345.15984093779,05/25/2018,09/21/2018,4.36        0.48,NaN,9.91        6.61,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional,Reanalyzed
