Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
2011,UNB,3/1/2011,9/11/2011,1199,NaN,0.97,NaN,NaN
2011,USB,3/1/2011,9/11/2011,1352,NaN,0.73,NaN,NaN
2011,Divide,3/1/2011,9/11/2011,1575,NaN,1.07,NaN,NaN
2012,LSB,6/21/2012,8/26/2012,998,0.59,0.85,NaN,NaN
2012,LNB,3/1/2012,8/26/2012,1073,NaN,2.64,NaN,NaN
2012,UNB,3/1/2012,8/26/2012,1199,NaN,2.5,NaN,NaN
2012,USB,3/1/2012,8/26/2012,1352,NaN,1.74,NaN,NaN
2012,Divide,3/1/2012,8/26/2012,1575,NaN,2.83,NaN,NaN
2013,CLFG,6/19/2013,9/11/2013,677,0.96,NaN,NaN,NaN
2013,LSB,6/19/2013,9/11/2013,998,1.2,NaN,NaN,NaN
2013,UNB,3/1/2013,9/11/2013,1199,NaN,NaN,NaN,NaN
2013,Divide,3/1/2013,9/11/2013,1575,NaN,NaN,NaN,NaN
2014,UNB,3/1/2014,9/11/2014,1199,NaN,NaN,NaN,NaN
2014,Divide,3/1/2014,9/11/2014,1575,NaN,NaN,NaN,NaN
2015,UNB,3/1/2015,9/11/2015,1199,NaN,NaN,NaN,NaN
2015,Divide,3/1/2015,9/11/2015,1575,NaN,NaN,NaN,NaN
2016,UNB,3/1/2016,9/11/2016,1199,NaN,NaN,NaN,NaN
2016,Divide,3/1/2016,9/11/2016,1575,NaN,NaN,NaN,NaN
2017,UNB,3/1/2017,9/11/2017,1199,NaN,NaN,NaN,NaN
2017,Divide,3/1/2017,9/11/2017,1575,NaN,NaN,NaN,NaN
2018,UNB,3/1/2018,9/11/2018,1199,NaN,NaN,NaN,NaN
2018,Divide,3/1/2018,9/11/2018,1575,NaN,NaN,NaN,NaN
