Date,Temperature,Precipitation,Elevation,Latitude,Longitude,Units,Source,Station_ID
2001-08-25,10.799999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-26,13.399999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-27,17.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-28,12.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-29,12.100000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-30,14.200000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-08-31,14.100000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-01,12.200000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-02,10.899999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-03,12.8,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-04,13.7,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-05,6.600000000000001,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-06,6.099999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-07,2.1000000000000005,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-08,5.899999999999999,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-09,7.300000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-10,7.200000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-11,5.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-12,7.6000000000000005,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-13,9.8,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-14,9.9,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-15,10.999999999999998,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-16,10.3,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-17,9.9,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-18,10.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-19,7.200000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-20,7.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-21,7.8,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-22,8.2,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-23,11.400000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-24,14.400000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-25,16.0,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-26,8.399999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-27,9.500000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-28,5.699999999999999,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-29,5.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-09-30,7.200000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-01,9.200000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-02,5.3999999999999995,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-03,2.9999999999999996,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-04,-2.2000000000000006,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-05,-1.0000000000000004,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-06,4.000000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-07,3.5999999999999983,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-08,1.6000000000000014,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-09,0.09999999999999985,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-10,0.8999999999999986,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-11,-0.29999999999999954,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-12,-1.5999999999999994,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-13,0.9999999999999984,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-14,-3.6000000000000005,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-15,-2.3000000000000003,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-16,4.100000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-17,-1.4999999999999998,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-18,-2.6,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-19,0.4999999999999992,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-20,0.699999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-21,-0.4999999999999992,17.779999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-22,0.09999999999999985,27.94,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-23,-1.6999999999999993,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-24,-3.5000000000000004,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-25,-2.3000000000000003,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-26,2.4000000000000004,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-27,4.9,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-28,-1.5999999999999994,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-29,1.0999999999999983,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-30,2.8999999999999995,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-10-31,0.29999999999999954,25.4,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-01,-0.8000000000000007,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-02,1.300000000000002,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-03,3.199999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-04,5.799999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-05,1.8000000000000012,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-06,-2.9999999999999996,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-07,-5.6,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-08,-4.400000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-09,-0.8000000000000007,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-10,0.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-11,0.1999999999999997,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-12,2.9999999999999996,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-13,3.099999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-14,3.4999999999999987,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-15,5.499999999999999,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-16,4.500000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-17,1.1999999999999982,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-18,-4.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-19,-1.1000000000000003,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-20,1.7000000000000013,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-21,-0.1999999999999997,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-22,-1.4,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-23,-1.5999999999999994,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-24,-5.2,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-25,-10.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-26,-7.6000000000000005,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-27,-7.1000000000000005,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-28,-7.300000000000001,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-29,-3.400000000000001,20.32,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-11-30,-6.2,17.779999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-01,-3.7,27.94,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-02,-4.400000000000001,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-03,-4.500000000000001,20.32,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-04,-7.8999999999999995,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-05,-7.1000000000000005,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-06,-6.4,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-07,-4.800000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-08,-2.4000000000000004,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-09,-5.0,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-10,-8.3,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-11,-9.600000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-12,-8.3,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-13,-3.6000000000000005,33.019999999999996,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-14,-4.1,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-15,-8.3,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-16,-3.200000000000001,27.94,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-17,-4.800000000000001,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-18,-9.3,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-19,-6.900000000000001,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-20,-6.900000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-21,-6.2,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-22,-7.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-23,-7.8999999999999995,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-24,-8.3,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-25,-10.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-26,-10.3,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-27,-14.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-28,-10.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-29,-12.8,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-30,-11.4,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2001-12-31,-13.4,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-01,-10.4,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-02,-3.9,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-03,-3.200000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-04,-4.500000000000001,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-05,-4.1,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-06,-1.3,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-07,1.300000000000002,38.099999999999994,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-08,0.29999999999999954,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-09,-2.4000000000000004,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-10,-2.9999999999999996,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-11,-2.6,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-12,-1.6999999999999993,27.94,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-13,-6.1000000000000005,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-14,-10.0,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-15,-11.800000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-16,-10.6,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-17,-11.4,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-18,-12.100000000000001,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-19,-7.200000000000001,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-20,-6.5,20.32,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-21,-6.900000000000001,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-22,-9.400000000000002,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-23,-8.9,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-24,-3.7,43.18,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-25,-2.6999999999999997,48.26,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-26,-6.699999999999999,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-27,-10.3,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-28,-12.5,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-29,-13.2,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-30,-11.800000000000002,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-01-31,-6.8,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-01,-5.6,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-02,-6.1000000000000005,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-03,-5.3999999999999995,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-04,-5.6,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-05,-5.499999999999999,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-06,-3.200000000000001,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-07,-3.6000000000000005,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-08,-5.499999999999999,17.779999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-09,-6.900000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-10,-4.400000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-11,-6.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-12,-12.3,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-13,-8.200000000000001,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-14,-8.700000000000001,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-15,-8.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-16,-3.3000000000000007,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-17,-1.4,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-18,-2.6999999999999997,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-19,-2.8,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-20,-2.8999999999999995,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-21,-2.5,33.019999999999996,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-22,-1.4,66.03999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-23,-16.0,17.779999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-24,-20.1,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-25,-19.400000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-26,-15.3,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-27,-12.000000000000002,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-02-28,-12.200000000000001,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-01,-14.300000000000002,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-02,-12.9,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-03,-8.9,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-04,-4.1,12.7,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-05,-15.4,22.86,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-06,-23.7,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-07,-23.5,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-08,-17.0,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-09,-8.600000000000001,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-10,-3.400000000000001,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-11,-1.4,50.8,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-12,-3.5000000000000004,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-13,-4.800000000000001,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-14,-4.9,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-15,-6.2,15.239999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-16,-17.5,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-17,-16.0,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-18,-11.5,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-19,-16.8,17.779999999999998,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-20,-22.8,2.54,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-21,-12.8,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-22,0.4999999999999992,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-23,0.5999999999999991,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-24,-0.29999999999999954,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-25,-0.8000000000000007,0.0,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-26,-0.4999999999999992,5.08,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-27,-4.0,10.16,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
2002-03-28,-2.8999999999999995,7.619999999999999,1920.24,48.80225,-113.85713,SCI,Flattop Mtn.,482:MT:SNTL
