Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2008,TSL_800,800,1.17,-4.16,-2.99,16-May-2008,02-Oct-2008,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,TSL_882,882,2.52,-3.68,-1.16,16-May-2008,02-Oct-2008,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,H,1146,4.54,-2.76,1.79,16-May-2008,02-Oct-2008,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,D,1190,4.07,-2.63,1.44,16-May-2008,02-Oct-2008,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2008,G,1201,3.88,-2.61,1.27,16-May-2008,02-Oct-2008,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,TSL_754,754,1.08,-5.53,-4.45,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,TSL_804,804,1.79,-5.23,-3.45,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,TSL_810,810,2.17,-5.15,-2.98,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,TSL_880,880,2.68,-4.82,-2.14,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,TSL_886,886,3.04,-4.73,-1.7,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,C,1079,3.31,-3.99,-0.68,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,H,1145,3.26,-3.77,-0.51,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2009,G,1200,3.1,-3.45,-0.36,21-Apr-2009,28-Sep-2009,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,TSL_828,828,0.81,-5.32,-4.51,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,TSL_870,870,1.74,-5.02,-3.28,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,TSL_1027,1027,2.97,-4.25,-1.28,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,C,1078,3.54,-3.96,-0.42,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,H,1144,3.8,-3.67,0.13,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2010,G,1198,3.11,-3.49,-0.38,21-Apr-2010,05-Oct-2010,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,TSL_759,759,0.29,-4.83,-4.54,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,TSL_864,864,1.59,-4.28,-2.69,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,C,1076,2.94,-3.36,-0.42,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,TSL_1095,1095,2.99,-3.29,-0.3,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,H,1142,3.09,-3.11,-0.03,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,D,1187,3.01,-2.98,0.02,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2011,G,1197,2.91,-2.97,-0.06,12-May-2011,08-Oct-2011,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,TSL_753,753,1.35,-4.47,-3.12,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,TSL_859,859,2.39,-3.96,-1.56,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,TSL_876,876,2.9,-3.82,-0.92,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,TSL_1013,1013,3.28,-3.3,-0.02,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,C,1075,4.88,-3.11,1.77,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,H,1141,4.17,-2.93,1.23,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,D,1186,4.35,-2.73,1.62,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2012,G,1196,3.85,-2.72,1.13,16-May-2012,11-Oct-2012,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,TSL_864,864,1.67,-5.57,-3.9,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,TSL_1006,1006,2.61,-4.8,-2.2,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,C,1073,3.48,-4.34,-0.86,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,H,1140,3.34,-4.13,-0.8,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,D,1185,3.45,-3.94,-0.5,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,G,1195,3.26,-3.96,-0.7,03-May-2013,24-Oct-2013,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,TSL_762,762,0.57,-6.16,-5.59,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,TSL_791,791,1.39,-5.9,-4.52,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,A,832,2.11,-5.76,-3.65,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,B,951,2.48,-5.19,-2.71,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,TSL_999,999,2.18,-4.87,-2.69,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,TSL_1033,1033,2.68,-4.65,-1.97,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,C,1071,3.05,-4.09,-1.04,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,H,1137,2.04,-2.65,-0.61,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,D,1182,3.39,-4.19,-0.8,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,G,1192,2.12,-3,-0.87,10-Apr-2014,18-Oct-2014,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,TSL_757,757,0.57,-6.49,-5.92,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,TSL_762,762,0.85,-6.42,-5.57,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,A,828,1.12,-6.42,-5.31,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,B,948,1.76,-5.77,-4.01,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,TSL_1011,1011,2.09,-5.13,-3.04,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,C,1068,2.69,-4.06,-1.38,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,H,1135,3.14,-3.74,-0.6,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,D,1179,2.44,-3.39,-0.95,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,G,1189,3.12,-3.99,-0.87,20-Apr-2015,25-Oct-2015,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,TSL_799,799,1.13,-6.01,-4.88,05-May-2016,08-Oct-2016,-5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
