Year,site_name,spring_date,fall_date,elevation,bw,ba,winter_ablation,summer_accumulation
1990,IB1,3/1/1990,8/1/1990,1095,NaN,0.76,NaN,0
1990,DG1,3/1/1990,7/31/1990,1059,NaN,0.49,NaN,0
1990,DG2,3/1/1990,8/7/1990,1316,NaN,1.19,NaN,0
1990,SWB1,3/1/1990,7/24/1990,1182,NaN,1.77,NaN,0
1990,C161,3/1/1990,8/2/1990,1537,NaN,1.64,NaN,0
1990,C1611,3/1/1990,8/2/1990,1471,NaN,1.52,NaN,0
1990,NWB1,3/1/1990,8/3/1990,1497,NaN,1.44,NaN,0
1990,MG1,3/1/1990,7/29/1990,1404,NaN,1.00,NaN,0
1990,MG6,3/1/1990,8/22/1990,1847,NaN,1.93,NaN,0
1990,MG2,3/1/1990,8/23/1990,1783,NaN,2.23,NaN,0
1991,TKG5,3/1/1991,7/30/1991,991,NaN,0.93,NaN,0
1991,TKG4,3/1/1991,7/26/1991,1110,NaN,1.36,NaN,0
1991,TKG4A,3/1/1991,7/27/1991,1110,NaN,1.17,NaN,0
1991,TKG5A,3/1/1991,7/30/1991,900,NaN,0.51,NaN,0
1991,DG1,3/1/1991,7/31/1991,1036,NaN,1.20,NaN,0
1991,SWB1,3/1/1991,7/29/1991,1227,NaN,2.18,NaN,0
1991,SWB2,3/1/1991,7/29/1991,1064,NaN,1.30,NaN,0
1991,NWB1,3/1/1991,8/6/1991,1404,NaN,2.31,NaN,0
1991,C161,3/1/1991,8/6/1991,1471,NaN,2.82,NaN,0
1991,MG1,3/1/1991,8/9/1991,1352,NaN,1.37,NaN,0
1991,MG2,3/1/1991,8/11/1991,1768,NaN,2.59,NaN,0
1991,MG6,3/1/1991,8/12/1991,1871,NaN,2.65,NaN,0
1995,TKG4A,3/1/1995,7/23/1995,1118,NaN,0.94,NaN,0
1995,TKG4,3/1/1995,7/23/1995,1110,NaN,1.14,NaN,0
1995,TKG5,3/1/1995,7/23/1995,991,NaN,0.74,NaN,0
1995,TKG2,3/1/1995,7/24/1995,1182,NaN,1.23,NaN,0
1995,DG1,3/1/1995,7/28/1995,1023,NaN,0.73,NaN,0
1995,SWB2,3/1/1995,7/22/1995,1064,NaN,0.94,NaN,0
1995,NWB1,3/1/1995,7/30/1995,1404,NaN,1.18,NaN,0
1995,C161,3/1/1995,7/29/1995,1471,NaN,1.57,NaN,0
1995,MG1,3/1/1995,8/1/1995,1419,NaN,1.17,NaN,0
1995,MG3,3/1/1995,8/5/1995,1785,NaN,2.22,NaN,0
1996,TKG4A,3/1/1996,7/19/1996,1110,NaN,1.15,NaN,0
1996,TKG5,3/1/1996,7/24/1996,991,NaN,0.86,NaN,0
1996,TKG4,3/1/1996,7/25/1996,1110,NaN,1.11,NaN,0
1996,TKG2,3/1/1996,7/22/1996,1182,NaN,1.32,NaN,0
1996,SWB2,3/1/1996,7/21/1996,1064,NaN,1.02,NaN,0
1996,DG1,3/1/1996,7/24/1996,1030,NaN,0.70,NaN,0
1996,TKG7,3/1/1996,7/26/1996,1341,NaN,1.54,NaN,0
1996,MG3,3/1/1996,8/2/1996,1785,NaN,1.29,NaN,0
1996,MG1,3/1/1996,7/29/1996,1419,NaN,0.93,NaN,0
1996,MG2,3/1/1996,8/3/1996,1808,NaN,2.15,NaN,0
1997,TKG4A,3/1/1997,7/20/1997,1110,NaN,0.88,NaN,0
1997,TKG4,3/1/1997,7/23/1997,1110,NaN,1.05,NaN,0
1997,TKG8,3/1/1997,7/23/1997,1290,NaN,1.26,NaN,0
1997,TKG6,3/1/1997,7/25/1997,1273,NaN,0.98,NaN,0
1997,TKG2,3/1/1997,7/25/1997,1212,NaN,1.14,NaN,0
1997,SWB4,3/1/1997,7/21/1997,1066,NaN,0.96,NaN,0
1997,SWB2,3/1/1997,7/21/1997,1150,NaN,1.57,NaN,0
1997,NWB3,3/1/1997,7/27/1997,1439,NaN,1.48,NaN,0
1997,C161,3/1/1997,7/27/1997,1524,NaN,1.39,NaN,0
1997,MG1,3/1/1997,8/1/1997,1419,NaN,1.18,NaN,0
1997,MG2,3/1/1997,8/5/1997,1808,NaN,2.06,NaN,0
1998,TKG5,3/1/1998,7/29/1998,1044,NaN,0.52,NaN,0
1998,TKG4,3/1/1998,7/22/1998,1122,NaN,1.09,NaN,0
1998,TKG4A,3/1/1998,7/20/1998,1118,NaN,1.03,NaN,0
1998,TR1,3/1/1998,7/23/1998,1222,NaN,1.27,NaN,0
1998,TKG3,3/1/1998,7/25/1998,1200,NaN,1.13,NaN,0
1998,TKG6,3/1/1998,7/25/1998,1248,NaN,1.10,NaN,0
1998,TKG7,3/1/1998,7/26/1998,1334,NaN,1.36,NaN,0
1998,C161,3/1/1998,7/26/1998,1463,NaN,1.50,NaN,0
1998,MG1,3/1/1998,8/2/1998,1381,NaN,0.94,NaN,0
1998,MG4,3/1/1998,8/1/1998,1418,NaN,0.99,NaN,0
1998,MG2,3/1/1998,8/5/1998,1782,NaN,1.76,NaN,0
1999,TKG4A,3/1/1999,7/19/1999,1122,NaN,1.71,NaN,0
1999,TKG4,3/1/1999,7/21/1999,1118,NaN,1.63,NaN,0
1999,TKG5,3/1/1999,7/24/1999,1063,NaN,1.09,NaN,0
1999,DG1,3/1/1999,7/24/1999,1012,NaN,0.94,NaN,0
1999,TKG3,3/1/1999,7/27/1999,1209,NaN,1.34,NaN,0
1999,TKG14,3/1/1999,8/6/1999,1322,NaN,1.30,NaN,0
1999,TKG7,3/1/1999,NaT,1314,NaN,1.45,NaN,0
1999,SWB3,3/1/1999,7/23/1999,1062,NaN,1.38,NaN,0
1999,SWB4,3/1/1999,8/5/1999,1077,NaN,1.09,NaN,0
1999,C161,3/1/1999,7/28/1999,1494,NaN,2.23,NaN,0
1999,C163,3/1/1999,7/30/1999,1591,NaN,2.28,NaN,0
1999,NWB1,3/1/1999,7/30/1999,1487,NaN,2.07,NaN,0
1999,MG6,3/1/1999,8/10/1999,1790,NaN,2.75,NaN,0
1999,MG2,3/1/1999,8/12/1999,1773,NaN,2.67,NaN,0
2000,TKG5,3/1/2000,7/23/2000,1037,NaN,2.10,NaN,0
2000,TKG4,3/1/2000,7/21/2000,1120,NaN,2.20,NaN,0
2000,TKG4A,3/1/2000,7/20/2000,1117,NaN,2.32,NaN,0
2000,TKG2,3/1/2000,8/2/2000,1212,NaN,2.62,NaN,0
2000,DG2,3/1/2000,7/29/2000,1166,NaN,1.82,NaN,0
