Year,site_name,elevation,bw,bs,ba,mass_maximum_date,mass_minimum_date,Lapse_Rate,Time_System,Integration_Method,Integration_Surface
2013,C,2460,3.36,-5.31,-1.95,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,G,2486,3.33,-4.8,-1.47,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2013,D,2551,4.54,-4.09,0.45,30-Apr-2013,22-Sep-2013,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,B,2328,3.49,-4.4,-0.91,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,F,2348,3.29,-4.36,-1.07,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,A,2382,3.43,-4.53,-1.1,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,E,2458,2.43,-4.46,-2.03,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,C,2460,3.01,-4.48,-1.46,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,G,2486,3.19,-3.86,-0.66,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2014,D,2551,4.64,-3.69,0.94,13-May-2014,23-Oct-2014,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,B,2338,2.55,-5.12,-2.57,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,F,2363,2.57,-5.11,-2.54,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,A,2387,2.64,-5.03,-2.39,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,E,2454,2.14,-5.24,-3.09,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,C,2460,3.06,-5.5,-2.44,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,G,2488,2.69,-4.68,-1.99,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,D,2552,3.28,-4.06,-0.78,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2015,Z,2567,4.23,-3.63,0.6,16-Apr-2015,20-Oct-2015,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,B,2317,2.46,-3.27,-0.81,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,F,2351,2.43,-2.83,-0.4,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,A,2375,2.16,-2.8,-0.64,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,E,2454,1.72,-2.77,-1.05,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
2016,C,2454.01,2.62,-2.82,-0.2,23-May-2016,30-Sep-2016,-6.5,Fixed_Date_Stratigraphic,Piecewise_Gradient_Method,Conventional
